record_id,logical_trace_id,request_id,request_ordinal,ai_turn_index,context_tokens
swe_agent_record_00000,Parquery__icontract-172,swe_agent_record_00000_turn_00030,14,30,9302
swe_agent_record_00001,ResearchObject__ro-crate-py-168,swe_agent_record_00001_turn_00064,31,64,27318
swe_agent_record_00002,ResearchObject__ro-crate-py-168,swe_agent_record_00002_turn_00114,56,114,26887
swe_agent_record_00003,ResearchObject__ro-crate-py-168,swe_agent_record_00003_turn_00080,39,80,26642
swe_agent_record_00004,ResearchObject__ro-crate-py-168,swe_agent_record_00004_turn_00072,35,72,27550
swe_agent_record_00005,ResearchObject__ro-crate-py-168,swe_agent_record_00005_turn_00084,41,84,27106
swe_agent_record_00006,Stratoscale__skipper-164,swe_agent_record_00006_turn_00032,15,32,15050
swe_agent_record_00007,Stratoscale__skipper-164,swe_agent_record_00007_turn_00018,8,18,6913
swe_agent_record_00008,Stratoscale__skipper-164,swe_agent_record_00008_turn_00022,10,22,11459
swe_agent_record_00009,Stratoscale__skipper-164,swe_agent_record_00009_turn_00020,9,20,9828
swe_agent_record_00010,Textualize__textual-4125,swe_agent_record_00010_turn_00076,37,76,27320
swe_agent_record_00011,Textualize__textual-4125,swe_agent_record_00011_turn_00052,25,52,26764
swe_agent_record_00012,Textualize__textual-4125,swe_agent_record_00012_turn_00058,28,58,16186
swe_agent_record_00013,Textualize__textual-4125,swe_agent_record_00013_turn_00022,10,22,12642
swe_agent_record_00014,Textualize__textual-4125,swe_agent_record_00014_turn_00074,36,74,27482
swe_agent_record_00015,Textualize__textual-4125,swe_agent_record_00015_turn_00014,6,14,7857
swe_agent_record_00016,Textualize__textual-4125,swe_agent_record_00016_turn_00022,10,22,9112
swe_agent_record_00017,Textualize__textual-4125,swe_agent_record_00017_turn_00064,31,64,26680
swe_agent_record_00018,Textualize__textual-4125,swe_agent_record_00018_turn_00088,43,88,27225
swe_agent_record_00019,Textualize__textual-4125,swe_agent_record_00019_turn_00052,25,52,19082
swe_agent_record_00020,Textualize__textual-4125,swe_agent_record_00020_turn_00124,61,124,19078
swe_agent_record_00021,Textualize__textual-4125,swe_agent_record_00021_turn_00086,42,86,27319
swe_agent_record_00022,Textualize__textual-4125,swe_agent_record_00022_turn_00044,21,44,20410
swe_agent_record_00023,Textualize__textual-4125,swe_agent_record_00023_turn_00060,29,60,17632
swe_agent_record_00024,Textualize__textual-4125,swe_agent_record_00024_turn_00046,22,46,25884
swe_agent_record_00025,Textualize__textual-4125,swe_agent_record_00025_turn_00076,37,76,27321
swe_agent_record_00026,Textualize__textual-4125,swe_agent_record_00026_turn_00024,11,24,10802
swe_agent_record_00027,Textualize__textual-4125,swe_agent_record_00027_turn_00080,39,80,27289
swe_agent_record_00028,adamchainz__pip-lock-121,swe_agent_record_00028_turn_00014,6,14,3001
swe_agent_record_00029,adamchainz__pip-lock-121,swe_agent_record_00029_turn_00048,23,48,12471
swe_agent_record_00030,adamchainz__pip-lock-121,swe_agent_record_00030_turn_00032,15,32,12965
swe_agent_record_00031,adamchainz__pip-lock-121,swe_agent_record_00031_turn_00118,58,118,27091
swe_agent_record_00032,adamchainz__pip-lock-121,swe_agent_record_00032_turn_00030,14,30,11151
swe_agent_record_00033,adamchainz__pip-lock-121,swe_agent_record_00033_turn_00518,258,518,25774
swe_agent_record_00034,adamchainz__pip-lock-121,swe_agent_record_00034_turn_00020,9,20,6613
